users,in_degree,out_degree,betweenness,pagerank,eigenvector
1,0.013171759747102212,0.01738672286617492,0.0031254473294204,0.0012912178017785933,0.02511693121757366
2,0.0026343519494204425,0.0,0.0,0.0003153141579405256,0.006452992984065962
3,0.02160168598524763,0.09220231822971549,0.014252566565685099,0.0018450571276085645,0.04340560763885906
4,0.0005268703898840885,0.0,0.0,0.0001325052564791992,0.0012671647351882205
5,0.0,0.0005268703898840885,0.0,0.00012354503234410322,9.071867476614494e-24
6,0.025816649104320334,0.02370916754478398,0.0033661452765431994,0.002144903638934676,0.049922395088744756
7,0.0026343519494204425,0.0,0.0,0.00034415299196656555,0.005992071898043116
8,0.032665964172813484,0.014752370916754477,0.007035882904616656,0.002349222963589691,0.06898376232612975
9,0.02792413066385669,0.12486828240252897,0.026830789865699683,0.0022678904978270333,0.0603971089517489
10,0.001053740779768177,0.0005268703898840885,0.0003605693199789141,0.0008083356288284902,0.0017646004104515513
11,0.0015806111696522653,0.0,0.0,0.00016062684086919955,0.006631591985208721
12,0.01738672286617492,0.07428872497365648,0.006813499837998515,0.0013459952760718323,0.03340906709120112
13,0.0015806111696522653,0.0,0.0,0.00016060497121111317,0.005843783921362034
14,0.0015806111696522653,0.0,0.0,0.000155673910182856,0.004453367379911038
15,0.002107481559536354,0.0,0.0,0.0001810457828900912,0.008368178187332855
16,0.0005268703898840885,0.0,0.0,0.00013169182962465226,0.0017630965592477438
17,0.001053740779768177,0.0,0.0,0.00015388351843576568,0.004561588569617327
18,0.001053740779768177,0.0,0.0,0.00014061761521264987,0.0026219664008481866
19,0.01422550052687039,0.05532139093782929,0.009141669193786468,0.0011002703282087611,0.029422006962447088
20,0.0031612223393045306,0.001053740779768177,0.0006769228126772327,0.0005015177778960041,0.011087067727511474
21,0.001053740779768177,0.0,0.0,0.00048080444190294125,0.00036641032499497685
22,0.0015806111696522653,0.0,0.0,0.00037900599903581216,0.002760564657238951
23,0.001053740779768177,0.0,0.0,0.00022381710688525186,0.004040455360201462
24,0.0005268703898840885,0.0,0.0,0.00013169182962465226,0.0017630965592477438
25,0.001053740779768177,0.0005268703898840885,4.556967290594997e-05,0.0001695723391947923,0.0014630797413674823
26,0.009483667017913592,0.007903055848261327,0.0007179227284103945,0.0007555488829367337,0.026836155168548686
27,0.02107481559536354,0.025289778714436245,0.004873643536414111,0.0015761670499065596,0.041074526701806495
